t,x,y
8.11,1.5371476203352234e-13,1.2757043304540827e-15
8.115,1.5530248840797895e-13,1.2316695256996321e-15
8.12,1.568900155493973e-13,1.1800582638871683e-15
8.125,1.5847733008217604e-13,1.1210767569483711e-15
8.13,1.6006441877336074e-13,1.0549570250900327e-15
8.135,1.6165126812337703e-13,9.819559506201837e-16
8.14,1.6323786440097376e-13,9.02354685103663e-16
8.145,1.648241943688144e-13,8.164565026971156e-16
8.15,1.664102447797677e-13,7.245871853147169e-16
8.155,1.6799600215915345e-13,6.270926182706334e-16
8.16,1.695814530884144e-13,5.243381725386078e-16
8.165,1.7116658430078032e-13,4.16705495581566e-16
8.17,1.7275138251998665e-13,3.045928134292767e-16
8.175,1.7433583413128304e-13,1.8841368797945717e-16
8.18,1.759199252099331e-13,6.859530662102811e-17
8.185,1.7750364232227855e-13,-5.442476899104776e-17
8.19,1.7908697210750524e-13,-1.8019821939076785e-16
8.195,1.8066990111928893e-13,-3.08268244744164e-16
8.2,1.8225241618480333e-13,-4.381710461193094e-16
8.205,1.8383450397592072e-13,-5.69436454879225e-16
8.21,1.8541615084132253e-13,-7.01590425795787e-16
8.215,1.8699734249456653e-13,-8.341587929474263e-16
8.22,1.8857806567835965e-13,-9.666678283648298e-16
8.225,1.9015830723322111e-13,-1.0986453002881213e-15
8.23,1.9173805264261477e-13,-1.2296233115463899e-15
8.235,1.9331728859295389e-13,-1.3591390253969972e-15
8.24,1.948960023415041e-13,-1.4867372301044579e-15
8.245,1.9647418014798008e-13,-1.6119719492420063e-15
8.25,1.9805180811590174e-13,-1.7344070337952481e-15
8.255,1.9962887303064726e-13,-1.853616784046021e-15
8.26,2.0120536115156096e-13,-1.9691899494000377e-15
8.265,2.0278125814217377e-13,-2.0807299372706085e-15
8.27,2.0435654987369348e-13,-2.187855850270867e-15
8.275,2.0593122290329716e-13,-2.2902030018990697e-15
8.28,2.075052645646672e-13,-2.387425197867919e-15
8.285,2.0907866062377071e-13,-2.4791954002568387e-15
8.29,2.1065139688612434e-13,-2.5652072189961684e-15
8.295,2.1222346026288875e-13,-2.6451760646563154e-15
8.3,2.133237869593773e-13,-2.715155300268708e-15
8.305,2.1371703096818463e-13,-2.7744964150686225e-15
8.31,2.1375675756896762e-13,-2.823019737595e-15
8.315,2.1361974718103487e-13,-2.8605851721433204e-15
8.32,2.1339438824224215e-13,-2.887092357229828e-15
8.325,2.1312487326935382e-13,-2.9024806362329723e-15
8.33,2.1283329674853234e-13,-2.906729734554816e-15
8.335,2.1253070416348876e-13,-2.899859136320816e-15
8.34,2.1222261654307963e-13,-2.8819280225514127e-15
8.345,2.1191179266594182e-13,-2.853034957582282e-15
8.35,2.1159961011939558e-13,-2.8133175706519767e-15
8.355,2.1128675587995045e-13,-2.7629518663536965e-15
8.36,2.1097357171669846e-13,-2.7021515532673164e-15
8.365,2.1066022674488397e-13,-2.631167152799661e-15
8.37,2.1034680379097928e-13,-2.5502847559623717e-15
8.375,2.1003334245772336e-13,-2.459825321016163e-15
8.38,2.097198607534831e-13,-2.3601429938517885e-15
8.385,2.0940636599501404e-13,-2.251623739845007e-15
8.39,2.0909286003261887e-13,-2.1346839279663658e-15
8.395,2.087793419975483e-13,-2.0097688660905064e-15
8.4,2.0846580973824296e-13,-1.877350845917323e-15
8.405,2.081522604103092e-13,-1.7379275698358044e-15
8.41,2.0783869081271227e-13,-1.5920201437259028e-15
8.415,2.0752509759965772e-13,-1.4401712671099076e-15
8.42,2.0721147734847135e-13,-1.2829431444037075e-15
8.425,2.068978265591689e-13,-1.120915796380079e-15
8.43,2.0658414169073655e-13,-9.54684212604131e-16
8.435,2.0627041929694663e-13,-7.848566269590612e-16
8.44,2.0595665593265832e-13,-6.120523035696893e-16
8.445,2.056428480423824e-13,-4.368991068491336e-16
8.45,2.0580037152519638e-13,-2.638582160203446e-16
8.455,2.0666509642793388e-13,-9.399212344750682e-17
8.46,2.078837584054329e-13,7.209664257553955e-17
8.465,2.0927971807159586e-13,2.338211343400837e-16
8.47,2.107646488391965e-13,3.906119620836744e-16
8.475,2.1229438122333352e-13,5.419190132593336e-16
