t,x,y
2.24,9.6007847564281e-09,-2.2140487041420197e-21
2.26,9.600787935359656e-09,-2.2140501772377532e-21
2.2800000000000002,9.600791115295703e-09,-2.214051664186054e-21
2.3,9.600794295809328e-09,-2.2140531647974955e-21
2.32,9.600797476475193e-09,-2.2140546788761087e-21
2.34,9.600800656867076e-09,-2.2140562062182178e-21
2.36,9.600803836559416e-09,-2.214057746613171e-21
2.38,9.600807015125652e-09,-2.214059299842528e-21
2.4,9.60081019213951e-09,-2.214060865680711e-21
2.42,9.600813367173822e-09,-2.214062443894418e-21
2.44,9.600816539800697e-09,-2.214064034242689e-21
2.46,9.600819709590393e-09,-2.214065636476335e-21
2.48,9.60082287611367e-09,-2.214067250339132e-21
2.5,9.60082603893846e-09,-2.2140688755661166e-21
2.52,9.600829197631841e-09,-2.2140705118845732e-21
2.54,9.60083235175853e-09,-2.2140721590132648e-21
2.56,9.60083550088214e-09,-2.2140738166630574e-21
2.58,9.600838644561948e-09,-2.2140754845352155e-21
2.6,9.600841782358484e-09,-2.214077162324336e-21
2.62,9.600841509531042e-09,-2.2140770156983376e-21
2.64,9.600840882309163e-09,-2.21407667875907e-21
2.66,9.600840255335559e-09,-2.2140763419531762e-21
2.68,9.600839628497937e-09,-2.2140760052203302e-21
2.7,9.60083900168329e-09,-2.214075668499826e-21
2.72,9.600838374778677e-09,-2.2140753317309922e-21
2.74,9.60083774767117e-09,-2.2140749948531677e-21
2.76,9.600837120248062e-09,-2.214074657805802e-21
2.7800000000000002,9.600751333388837e-09,-2.2140336216454005e-21
2.8,9.600754475266402e-09,-2.214034938466249e-21
2.8200000000000003,9.600757622697323e-09,-2.2140362707103342e-21
2.84,9.600760775240591e-09,-2.214037618259065e-21
2.8600000000000003,9.600763932458794e-09,-2.2140389809880822e-21
2.88,9.600767093915876e-09,-2.2140403587662853e-21
2.9,9.600770259177322e-09,-2.214041751455895e-21
2.92,9.600773427811055e-09,-2.214043158912881e-21
2.94,9.60077659938694e-09,-2.2140445809868105e-21
2.96,9.600779773474864e-09,-2.2140460175199313e-21
2.98,9.600782949646553e-09,-2.2140474683480147e-21
3.0,9.60078612747411e-09,-2.2140489332997048e-21
3.02,9.600789306531344e-09,-2.2140504121971605e-21
3.04,9.60079248639168e-09,-2.2140519048550546e-21
3.06,9.600795666629273e-09,-2.2140534110811105e-21
3.08,9.6007988468182e-09,-2.21405493067573e-21
3.1,9.600802026533003e-09,-2.2140564634322413e-21
3.12,9.600805205347806e-09,-2.214058009136493e-21
